level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-06-06 16:37:30.956,test_nullable_group_reduce_group_reduce_join,9.2457459390s,0.1115453550s,0.0164929380s
INFO,2024-06-06 16:37:39.763,test_nullable_group_reduce_join_mutate,8.6602190430s,0.0964918970s,0.0176048320s
INFO,2024-06-06 16:37:46.463,test_nullable_inner_join_select,6.5497522350s,0.0981981610s,0.0203725000s
INFO,2024-06-06 16:37:55.893,test_nullable_join_group_reduce,9.2876453450s,0.0965587280s,0.0158483840s
INFO,2024-06-06 16:38:02.118,test_nullable_left_join,6.0665170430s,0.0994165220s,0.0145306060s
INFO,2024-06-06 16:38:08.049,test_nullable_outer_join,5.7763331310s,0.0952021410s,0.0139219230s
INFO,2024-06-06 16:38:12.574,test_nullable_windowing_explicit,4.3900620960s,0.0961784800s,0.0101336220s
INFO,2024-06-06 16:38:17.049,test_nullable_windowing_explicit_group,4.3363394760s,0.0957875570s,0.0123532960s
INFO,2024-06-06 16:38:22.047,test_nullable_windowing_explicit_window_far,4.8600687570s,0.0980806730s,0.0108667950s
INFO,2024-06-06 16:38:30.873,test_nullable_windowing_implicit_mean,8.6910699620s,0.0969847400s,0.0095600840s
INFO,2024-06-06 16:38:39.680,test_nullable_windowing_implicit_sum,8.6750692270s,0.0978110390s,0.0093999640s
INFO,2024-06-06 16:39:26.882,test_nullable_windowing_explicit,4.0003902690s,0.0946379830s,0.0130387800s
INFO,2024-06-06 16:39:34.880,test_nullable_windowing_explicit,4.0814035050s,0.0948762510s,0.0129987500s
INFO,2024-06-06 16:39:42.163,test_nullable_windowing_explicit_window_far,4.3178685120s,0.0968399290s,0.0135617130s
INFO,2024-06-06 16:45:36.546,test_nexmark_query_2,2.6723348060s,0.0964205890s,0.0492157160s
INFO,2024-06-06 17:27:59.223,test_nullable_windowing_implicit_mean,8.5170346760s,0.0993554920s,0.0129313790s
INFO,2024-06-06 17:28:06.067,test_nullable_windowing_explicit_group,4.0409405170s,0.0957050000s,0.0147823360s
INFO,2024-06-06 18:14:08.022,test_nexmark_query_1,2.9418052210s,0.0934583770s,0.0550307170s
INFO,2024-06-06 18:14:10.731,test_nexmark_query_2,2.4943022680s,0.0934888120s,0.0569102290s
INFO,2024-06-06 18:14:16.689,test_nexmark_query_3,5.7526086021s,0.1120185740s,0.0388687490s
INFO,2024-06-06 18:14:25.105,test_nexmark_query_4,8.1720069040s,0.1041100390s,0.0640255920s
INFO,2024-06-06 18:14:33.698,test_nexmark_query_6,8.3649249070s,0.1016599380s,0.0722409340s
INFO,2024-06-06 18:14:37.222,test_non_nullable_filter_filter_select_select,2.5732903240s,0.0973237760s,0.0583740870s
INFO,2024-06-06 18:14:41.474,test_non_nullable_filter_group_mutate,4.1104069840s,0.0976552319s,0.0194120300s
INFO,2024-06-06 18:14:45.511,test_non_nullable_filter_group_mutate_reduce,3.8987017480s,0.1004949000s,0.0195202210s
INFO,2024-06-06 18:14:49.851,test_non_nullable_filter_group_select,4.2119693420s,0.0969414110s,0.0167493680s
INFO,2024-06-06 18:14:53.647,test_non_nullable_filter_reduce,3.6715470900s,0.0960397730s,0.0153605031s
INFO,2024-06-06 18:14:56.318,test_non_nullable_filter_select,2.5398105460s,0.1002542980s,0.0168097500s
INFO,2024-06-06 18:15:05.450,test_non_nullable_group_reduce_group_reduce_join,8.9889679900s,0.0990256200s,0.0249868300s
INFO,2024-06-06 18:15:14.986,test_non_nullable_group_reduce_join_mutate,9.3849652830s,0.0983051650s,0.0310994300s
INFO,2024-06-06 18:15:21.620,test_non_nullable_inner_join_select,6.4813147600s,0.0976622850s,0.0329648880s
